row#,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
75.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
76.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
77.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
78.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
79.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
80.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
81.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
82.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
83.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
84.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
85.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
86.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
87.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
88.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
89.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
90.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
91.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
92.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
93.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
94.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
95.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
96.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
97.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
98.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
99.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
100.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
101.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
102.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
103.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
104.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
105.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
106.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
107.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
108.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
109.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
110.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
111.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
112.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
113.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
114.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
115.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
116.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
117.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
118.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
119.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
120.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
121.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
122.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
123.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
124.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
125.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
126.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
127.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
128.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
129.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
130.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
131.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
132.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
133.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
