,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question","['quizzesprogress', 'test']"
1,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",[]
2,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",['engag']
3,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",['pace']
4,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",['nil']
5,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question","['presentationspowerpoint', 'class', 'put', 'onlin', 'back', 'stuck']"
6,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question","['smaller', 'class', 'size', 'discuss']"
7,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question","['set', 'read']"
8,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question","['assign', 'prep', 'onlin']"
9,0.0,1.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question","['group', 'work', 'unnecessari', '‘fun’', 'task', 'fun']"
