,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
83.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
84.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
85.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
86.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
87.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
88.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
89.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
90.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
91.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
92.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
93.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
94.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
95.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
96.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
97.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
98.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
99.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
100.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
101.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
102.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
103.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
104.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
105.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
106.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
107.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
108.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
109.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
110.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
111.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
112.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
113.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
114.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
115.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
116.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
117.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
118.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
119.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
120.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
121.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
122.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
123.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
124.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
125.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
126.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
127.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
128.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
129.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
130.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
131.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
132.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
133.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
134.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
135.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
136.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
137.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
138.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
139.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
140.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
141.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
142.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
143.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
144.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
145.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
146.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
147.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
148.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
149.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
150.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
151.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
152.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
153.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
154.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
155.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
156.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
157.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
158.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
159.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
160.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
161.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
162.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
163.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
164.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
165.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
166.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
167.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
168.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
169.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
170.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
171.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
172.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
173.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
174.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
175.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
176.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
177.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
178.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
179.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
180.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
181.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
182.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
183.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
184.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
185.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
186.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
187.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
188.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
189.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
190.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
191.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
192.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
193.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
194.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
195.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
196.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
197.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
198.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
199.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
200.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
201.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
202.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
203.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
204.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
205.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
206.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
207.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
208.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
209.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
210.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
211.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
212.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
213.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
214.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
215.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
216.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
217.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
218.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
219.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
220.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
221.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
222.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
223.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
224.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
225.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
226.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
227.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
228.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
229.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
230.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
231.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
232.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
233.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
234.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
235.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
236.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
237.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
238.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
239.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
240.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
241.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
242.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
