,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
85.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
86.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
87.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
88.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
89.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
90.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
91.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
92.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
93.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
94.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
95.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
96.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
97.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
98.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
99.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
100.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
101.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
102.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
103.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
104.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
105.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
106.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
107.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
108.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
109.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
110.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
111.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
112.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
113.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
114.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
115.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
116.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
117.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
118.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
119.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
120.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
121.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
122.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
123.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
124.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
125.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
126.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
127.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
128.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
129.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
130.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
131.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
