,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
75.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
76.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
77.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
78.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
79.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
80.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
81.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
82.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
83.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
84.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
85.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
86.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
87.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
88.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
89.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
90.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
91.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
92.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
93.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
94.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
95.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
96.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
97.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
98.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
99.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
100.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
101.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
102.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
103.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
