,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
78.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
79.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
80.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
81.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
82.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
83.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
84.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
85.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
86.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
87.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
88.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
89.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
90.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
91.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
92.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
93.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
94.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
95.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
96.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
97.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
98.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
99.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
100.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
101.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
102.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
