,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
78.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
79.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
80.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
81.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
82.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
83.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
84.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
85.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
86.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
87.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
88.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
89.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
90.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
91.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
92.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
93.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
94.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
95.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
96.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
97.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
98.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
99.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
100.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
101.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
102.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
103.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
104.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
105.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
106.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
107.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
108.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
109.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
110.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
111.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
112.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
113.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
114.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
115.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
116.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
117.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
118.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
119.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
120.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
121.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
122.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
123.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
124.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
125.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
126.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
127.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
128.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
129.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
130.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
131.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
132.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
133.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
134.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
135.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
136.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
137.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
138.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
139.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
140.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
141.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
142.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
143.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
144.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
145.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
146.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
147.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
148.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
149.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
150.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
151.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
152.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
153.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
154.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
155.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
156.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
157.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
158.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
159.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
160.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
