,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
78.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
79.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
80.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
81.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
82.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
83.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
84.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
85.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
86.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
87.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
88.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
89.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
90.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
91.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
92.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
93.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
94.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
95.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
96.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
97.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
98.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
99.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
100.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
101.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
102.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
103.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
104.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
105.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
106.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
107.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
108.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
109.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
110.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
111.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
112.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
113.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
114.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
115.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
116.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
117.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
118.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
119.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
120.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
121.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
122.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
123.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
124.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
125.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
126.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
