,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",7131.0,1.0
1.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
2.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
3.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
4.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
5.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
6.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
7.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
8.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
9.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
10.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
11.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
12.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
13.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
14.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
15.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
16.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
17.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
18.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
19.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
20.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
21.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
22.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
23.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
24.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
25.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
26.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
27.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
28.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
29.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
30.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
31.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
32.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
33.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
34.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
35.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
36.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
37.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
38.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
39.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
40.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
41.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
42.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
43.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
44.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
45.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
46.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
47.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
48.0,0.0,"class, lectur, time, teacher, make, student, learn, discuss, engag, question",,
